發生年,發生月,發生日,發生時,發生分,處理別,區序,肇事地點,死亡人數,受傷人數,當事人序,車種,性別,年齡,受傷程度,4天候,7速限,8道路型態,9事故位置
103,01,24,11,42,2,01大同區,大龍街 民族西路,0,1,1,B03,1,37,3,8,50,04,01
103,01,24,11,42,2,01大同區,大龍街 民族西路,0,1,2,H01,2,74,2,8,50,04,01
103,01,11,18,17,2,01大同區,大同區寧夏路138號,0,2,1,C03,1,34,2,8,50,14,09
103,01,11,18,17,2,01大同區,大同區寧夏路138號,0,2,2,F01,2,60,2,8,50,14,09
103,01,11,18,17,2,01大同區,大同區寧夏路138號,0,2,3,H02,1,,4,8,50,14,09
103,02,20,09,15,2,01大同區,承德路 民權西路,0,1,1,C03,1,,4,8,50,05,03
103,02,20,09,15,2,01大同區,承德路 民權西路,0,1,2,C03,2,24,2,8,50,05,03
103,01,11,18,20,2,01大同區,延平北路 景化街,0,1,1,C03,2,45,2,8,50,03,01
103,01,11,18,20,2,01大同區,延平北路 景化街,0,1,2,C03,1,19,3,8,50,03,01
103,01,19,23,30,2,01大同區,承德路 敦煌路(承德橋往北機車道),0,2,1,C03,1,59,2,8,40,08,11
103,01,19,23,30,2,01大同區,承德路 敦煌路(承德橋往北機車道),0,2,2,F01,1,49,2,8,40,08,11
103,02,01,23,26,2,01大同區,延平北路 民生西路,0,2,1,B01,1,41,3,8,50,04,01
103,02,01,23,26,2,01大同區,延平北路 民生西路,0,2,2,C03,1,17,2,8,50,04,01
103,02,01,23,26,2,01大同區,延平北路 民生西路,0,2,3,H02,2,15,2,8,50,04,01
103,02,09,21,05,2,01大同區,大同區承德路3段89號,0,1,1,C03,1,,4,6,50,04,02
103,02,09,21,05,2,01大同區,大同區承德路3段89號,0,1,2,C03,2,20,2,6,50,04,02
103,02,06,10,04,2,01大同區,長安西路 鄭州路143巷口,0,1,1,B01,1,54,3,7,50,03,01
103,02,06,10,04,2,01大同區,長安西路 鄭州路143巷口,0,1,2,C03,1,58,2,7,50,03,01
103,02,17,20,55,2,01大同區,延平北路3段45號  景化街口,0,2,1,C03,1,49,2,7,50,03,01
103,02,17,20,55,2,01大同區,延平北路3段45號  景化街口,0,2,2,C03,1,31,2,7,50,03,01
103,02,18,23,19,2,01大同區,環河北路 民生西路,0,1,1,B03,2,42,3,6,50,04,01
103,02,18,23,19,2,01大同區,環河北路 民生西路,0,1,2,C03,1,18,2,6,50,04,01
103,01,05,10,35,2,01大同區,承德路3段254巷口,0,2,1,G06,1,,4,8,50,04,02
103,01,05,10,35,2,01大同區,承德路3段254巷口,0,2,2,C03,1,18,2,8,50,04,02
103,01,05,10,35,2,01大同區,承德路3段254巷口,0,2,3,B03,1,34,3,8,50,04,02
103,01,05,10,35,2,01大同區,承德路3段254巷口,0,2,4,H02,2,23,2,8,50,04,02
103,01,10,18,35,2,01大同區,大同區南京西路183號,0,2,1,C03,1,62,2,7,50,03,01
103,01,10,18,35,2,01大同區,大同區南京西路183號,0,2,2,C03,1,25,2,7,50,03,01
103,01,10,18,35,2,01大同區,大同區南京西路183號,0,2,3,B03,1,40,3,7,50,03,01
103,01,10,21,00,2,01大同區,大同區承德路,0,2,1,B03,1,69,3,8,50,14,07
103,01,10,21,00,2,01大同區,大同區承德路,0,2,2,B03,1,53,2,8,50,14,07
103,01,10,21,00,2,01大同區,大同區承德路,0,2,3,H02,2,41,2,8,50,14,07
103,01,20,20,50,2,01大同區,延平北路4段 敦煌路,0,1,1,B03,1,36,3,7,50,04,01
103,01,20,20,50,2,01大同區,延平北路4段 敦煌路,0,1,2,C03,1,40,2,7,50,04,01
103,02,03,16,50,2,01大同區,延平北路3段17巷口,0,2,1,C03,1,65,2,8,50,03,01
103,02,03,16,50,2,01大同區,延平北路3段17巷口,0,2,2,C03,1,18,2,8,50,03,01
103,01,21,15,45,2,01大同區,萬全街 雙連街,0,2,1,C03,1,53,2,7,40,04,01
103,01,21,15,45,2,01大同區,萬全街 雙連街,0,2,2,C03,1,19,2,7,40,04,01
103,01,11,11,10,2,01大同區,承德路2段175巷口,0,1,1,B12,1,23,3,8,50,03,01
103,01,11,11,10,2,01大同區,承德路2段175巷口,0,1,2,C03,2,30,2,8,50,03,01
103,01,10,22,45,2,01大同區,長安西路 太原路,0,2,1,C03,1,22,2,8,50,04,01
103,01,10,22,45,2,01大同區,長安西路 太原路,0,2,2,C03,1,31,2,8,50,04,01
103,01,08,22,29,2,01大同區,重慶北路2段(169號) 寧夏路104巷口,0,1,1,B01,1,56,3,6,50,14,09
103,01,08,22,29,2,01大同區,重慶北路2段(169號) 寧夏路104巷口,0,1,2,C03,1,18,2,6,50,14,09
103,01,07,16,03,2,01大同區,承德路3段8巷21號,0,1,1,F01,1,44,3,8,30,13,22
103,01,07,16,03,2,01大同區,承德路3段8巷21號,0,1,2,H01,2,76,2,8,30,13,22
103,01,08,17,16,2,01大同區,延平北路 長安西路,0,2,1,C03,2,20,2,6,50,05,03
103,01,08,17,16,2,01大同區,延平北路 長安西路,0,2,2,H01,1,43,2,6,50,05,03
103,01,13,19,50,2,01大同區,重慶北路3段335巷口,0,1,1,A11,1,,4,7,50,14,08
103,01,13,19,50,2,01大同區,重慶北路3段335巷口,0,1,2,A04,1,24,2,7,50,14,08
103,01,14,12,08,2,01大同區,民生西路 雙連街,0,1,1,B12,1,102,4,6,50,03,09
103,01,14,12,08,2,01大同區,民生西路 雙連街,0,1,2,C03,2,39,2,6,50,03,09
103,01,22,19,55,2,01大同區,台北橋機車道,0,3,1,C03,2,38,3,7,50,14,11
103,01,22,19,55,2,01大同區,台北橋機車道,0,3,2,C03,1,19,2,7,50,14,11
103,01,22,19,55,2,01大同區,台北橋機車道,0,3,3,C03,1,29,2,7,50,14,11
103,01,22,19,55,2,01大同區,台北橋機車道,0,3,4,G06,1,,4,7,50,14,11
103,01,22,19,55,2,01大同區,台北橋機車道,0,3,5,H02,2,16,2,7,50,14,11
103,01,19,13,10,2,01大同區,忠孝西路2段 鄭州路38巷前迴轉道,0,1,1,B03,1,35,3,8,50,04,01
103,01,19,13,10,2,01大同區,忠孝西路2段 鄭州路38巷前迴轉道,0,1,2,C03,1,22,2,8,50,04,01
103,01,27,13,56,2,01大同區,延平北路 甘谷街,0,1,1,B01,1,33,3,8,50,14,09
103,01,27,13,56,2,01大同區,延平北路 甘谷街,0,1,2,C03,1,24,2,8,50,14,09
103,01,27,16,38,2,01大同區,延平北路民權西路,0,2,1,C03,1,40,2,8,40,04,01
103,01,27,16,38,2,01大同區,延平北路民權西路,0,2,2,C03,2,20,2,8,40,04,01
103,01,02,18,50,2,01大同區,重慶北路 歸綏街,0,1,1,B01,1,53,3,7,50,04,01
