發生年,發生月,發生日,發生時,發生分,處理別,區序,肇事地點,死亡人數,受傷人數,當事人序,車種,性別,年齡,受傷程度,4天候,7速限,8道路型態,9事故位置
105,01,05,18,40,2,12內湖區,內湖區瑞光路550號,0,1,1,B03,1,19,3,8,50,14,09
105,01,05,18,40,2,12內湖區,內湖區瑞光路550號,0,1,2,C03,2,32,2,8,50,14,09
105,01,11,20,55,2,12內湖區,內湖區內湖路2段179巷81弄,0,1,1,B03,1,47,3,6,50,14,08
105,01,11,20,55,2,12內湖區,內湖區內湖路2段179巷81弄,0,1,2,C03,2,27,2,6,50,14,08
105,03,10,18,00,2,12內湖區,內湖區舊宗路1段與民權東路6段口,0,1,1,B01,1,57,3,6,50,3,01
105,03,10,18,00,2,12內湖區,內湖區舊宗路1段與民權東路6段口,0,1,2,C04,2,31,2,6,50,3,01
105,07,27,18,05,2,12內湖區,內湖區瑞光路76巷與瑞光路112巷口,0,1,1,C03,2,34,3,8,50,4,02
105,07,27,18,05,2,12內湖區,內湖區瑞光路76巷與瑞光路112巷口,0,1,2,C03,1,32,2,8,50,4,02
105,10,05,18,19,2,12內湖區,內湖區內湖路1段285巷69弄,0,1,1,B03,1,36,3,8,40,3,01
105,10,05,18,19,2,12內湖區,內湖區內湖路1段285巷69弄,0,1,2,H01,1,85,2,8,40,3,01
105,01,01,03,05,2,12內湖區,內湖區金龍路與內湖路3段141巷口,0,3,1,C03,1,18,2,7,50,14,09
105,01,01,03,05,2,12內湖區,內湖區金龍路與內湖路3段141巷口,0,3,2,H01,1,24,2,7,50,14,09
105,01,01,03,05,2,12內湖區,內湖區金龍路與內湖路3段141巷口,0,3,3,H02,2,18,2,7,50,14,09
105,01,22,20,00,2,12內湖區,內湖區文德路220巷,0,1,1,C03,2,38,2,6,50,4,02
105,01,22,20,00,2,12內湖區,內湖區文德路220巷,0,1,2,A12,1,45,3,6,50,4,02
105,01,22,20,00,2,12內湖區,內湖區文德路220巷,0,1,3,B03,1,29,3,6,50,4,02
105,01,22,22,35,2,12內湖區,內湖區文德路242號,0,3,1,B03,1,48,3,6,50,14,09
105,01,22,22,35,2,12內湖區,內湖區文德路242號,0,3,2,B03,2,60,2,6,50,14,09
105,01,22,22,35,2,12內湖區,內湖區文德路242號,0,3,3,B03,2,31,2,6,50,14,09
105,01,03,16,00,2,12內湖區,內湖區東湖路119巷49弄與康樂街72巷17弄口,0,1,1,C03,1,49,3,7,50,3,01
105,01,03,16,00,2,12內湖區,內湖區東湖路119巷49弄與康樂街72巷17弄口,0,1,2,F01,2,41,2,7,50,3,01
105,01,06,14,50,2,12內湖區,內湖區瑞光路235巷,0,1,1,B12,1,57,3,7,50,4,02
105,01,06,14,50,2,12內湖區,內湖區瑞光路235巷,0,1,2,C03,1,20,2,7,50,4,02
105,01,30,18,45,2,12內湖區,內湖區金龍路與內湖路3段59巷口,0,1,1,B02,1,44,3,6,50,3,02
105,01,30,18,45,2,12內湖區,內湖區金龍路與內湖路3段59巷口,0,1,2,C03,1,25,2,6,50,3,02
105,01,30,18,45,2,12內湖區,內湖區金龍路與內湖路3段59巷口,0,1,3,B03,2,51,3,6,50,3,02
105,02,01,00,25,2,12內湖區,內湖區康寧路3段56巷與民權東路6段296巷口,0,1,1,C03,2,52,2,6,50,15,09
105,02,01,00,25,2,12內湖區,內湖區康寧路3段56巷與民權東路6段296巷口,0,1,2,B03,1,30,3,6,50,15,09
105,02,01,20,15,2,12內湖區,內湖區新明路298巷與南京東路6段口,0,1,1,B03,1,48,3,6,50,4,01
105,02,01,20,15,2,12內湖區,內湖區新明路298巷與南京東路6段口,0,1,2,C03,1,27,2,6,50,4,01
105,02,04,12,45,2,12內湖區,內湖區新湖二路與新湖一路口,0,1,1,C03,2,62,2,7,50,4,02
105,02,04,12,45,2,12內湖區,內湖區新湖二路與新湖一路口,0,1,2,B01,1,43,3,7,50,4,02
105,01,25,17,45,2,12內湖區,內湖區東湖路160巷,0,1,1,B03,2,68,3,8,50,3,01
105,01,25,17,45,2,12內湖區,內湖區東湖路160巷,0,1,2,C03,2,38,2,8,50,3,01
105,01,07,15,50,2,12內湖區,內湖區成功路5段與大湖山莊街口,0,2,1,C03,1,32,2,8,50,4,01
105,01,07,15,50,2,12內湖區,內湖區成功路5段與大湖山莊街口,0,2,2,H01,2,33,2,8,50,4,01
105,01,08,09,00,2,12內湖區,內湖區民權東路6段20號,0,1,1,C03,1,105,4,7,50,14,09
105,01,08,09,00,2,12內湖區,內湖區民權東路6段20號,0,1,2,C03,1,32,2,7,50,14,09
105,01,08,14,40,2,12內湖區,內湖區環山路2段,0,1,1,C03,1,21,2,7,50,14,09
105,01,08,14,40,2,12內湖區,內湖區環山路2段,0,1,2,,3,105,,7,50,14,09
105,01,12,08,50,2,12內湖區,內湖區陽光街321巷與陽光街365巷口,0,1,1,C03,1,24,3,7,0,3,02
105,01,12,08,50,2,12內湖區,內湖區陽光街321巷與陽光街365巷口,0,1,2,C03,1,34,2,7,0,3,02
105,01,12,11,05,2,12內湖區,內湖區民權東路6段15巷,0,1,1,B03,2,57,3,7,50,3,02
105,01,12,11,05,2,12內湖區,內湖區民權東路6段15巷,0,1,2,C03,1,57,2,7,50,3,02
105,01,12,18,35,2,12內湖區,內湖區成功路3段162號,0,1,1,B01,1,48,3,6,50,14,09
