發生年,發生月,發生日,發生時,發生分,處理別,區序,肇事地點,死亡人數,受傷人數,當事人序,車種,性別,年齡,受傷程度,4天候,7速限,8道路型態,9事故位置
105,01,26,08,50,2,12內湖區,內湖區東湖路116號,0,1,2,C03,1,37,2,7,50,14,09
105,01,29,18,45,2,12內湖區,內湖區新湖二路與新湖一路128巷口,0,1,1,C03,1,26,2,6,50,3,01
105,02,04,09,21,2,12內湖區,內湖區潭美街345號,0,1,2,B03,1,38,3,8,40,14,09
105,02,06,22,49,2,12內湖區,內湖區成功路2段325號,0,1,1,B03,2,51,3,7,50,4,01
105,02,06,22,49,2,12內湖區,內湖區成功路2段325號,0,1,2,B03,2,36,2,7,50,4,01
105,02,06,22,49,2,12內湖區,內湖區成功路2段325號,0,1,3,E01,1,36,3,7,50,4,01
105,01,22,18,20,2,12內湖區,內湖區舊宗路1段與南京東路6段口,0,1,2,C03,2,38,2,6,50,4,01
105,02,03,21,37,1,12內湖區,內湖區民權東路6段與瑞光路口,1,1,1,C03,1,32,2,6,50,4,01
105,02,03,21,37,1,12內湖區,內湖區民權東路6段與瑞光路口,1,1,2,H01,1,36,1,6,50,4,01
105,01,01,18,10,2,12內湖區,內湖區行愛路186號,0,1,1,B03,1,56,4,8,50,14,09
105,01,01,18,10,2,12內湖區,內湖區行愛路186號,0,1,2,C03,1,39,2,8,50,14,09
105,01,07,21,40,2,12內湖區,內湖區內湖路1段737巷51弄與內湖路1段737巷19弄口,0,1,1,C04,2,50,2,7,40,3,01
